Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Canada,Clay  Regazzoni ,Ferrari,1:32.200,REG,CAN,45.5049,-73.5262
United States,Jacky  Ickx ,Ferrari,1:02.740,ICK,USA,30.1328,-97.6411
Mexico,Jacky  Ickx ,Ferrari,1:43.110,ICK,MEX,19.4042,-99.0907
South Africa,Mario  Andretti ,Ferrari,1:20.300,AND,ZAF,-26.2474,27.8477
Spain,Jacky  Ickx ,Ferrari,1:25.100,ICK,ESP,41.57,2.2615
Monaco,Jackie  Stewart ,Tyrrell Ford,1:22.200,STE,MON,43.7347,7.4206
Netherlands,Jacky  Ickx ,Ferrari,1:34.950,ICK,NED,52.3888,4.5409
France,Jackie  Stewart ,Tyrrell Ford,1:54.090,STE,FRA,43.2509,5.7901
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:19.900,STE,GBR,52.0786,-1.0169
Germany,Francois Cevert,Tyrrell Ford,7:20.100,CEV,DEU,49.3276,8.5625
Austria,Jo  Siffert ,BRM,1:38.470,SIF,AUT,47.2197,14.7646
Italy,Henri  Pescarolo ,March Ford,1:23.800,PES,ITA,44.3406,11.7161
Canada,Denny  Hulme ,McLaren Ford,1:43.500,HUL,CAN,45.5049,-73.5262
United States,Jacky  Ickx ,Ferrari,1:43.474,ICK,USA,30.1328,-97.6411
Argentina,Jackie  Stewart ,Tyrrell Ford,1:13.660,STE,ARG,-34.6466,-58.3876
South Africa,Mike  Hailwood ,Surtees Ford,1:18.900,HAI,ZAF,-26.2474,27.8477
Spain,Jacky  Ickx ,Ferrari,1:21.010,ICK,ESP,41.57,2.2615
Monaco,Jean-Pierre  Beltoise ,BRM,1:40.000,BEL,MON,43.7347,7.4206
Belgium,Chris  Amon ,Matra,1:12.120,AMO,BEL,50.4372,5.9714
France,Chris  Amon ,Matra,2:53.900,AMO,FRA,43.2509,5.7901
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:24.000,STE,GBR,52.0786,-1.0169
Germany,Jacky  Ickx ,Ferrari,7:13.600,ICK,DEU,49.3276,8.5625
Austria,Denny  Hulme ,McLaren Ford,1:38.320,HUL,AUT,47.2197,14.7646
Italy,Jacky  Ickx ,Ferrari,1:36.300,ICK,ITA,44.3406,11.7161
Canada,Jackie  Stewart ,Tyrrell Ford,1:15.700,STE,CAN,45.5049,-73.5262
United States,Jackie  Stewart ,Tyrrell Ford,1:41.644,STE,USA,30.1328,-97.6411
Argentina,Emerson  Fittipaldi ,Lotus Ford,1:11.220,FIT,ARG,-34.6466,-58.3876
Brazil,Emerson  Fittipaldi ,Lotus Ford,2:35.000,FIT,BRA,-23.7036,-46.6997
